timestamp,setup_id,ea_version,symbol,timeframe,direction,bid,ask,spread_points,bar_time,breakout_level,lookback_bars,mindset,filter_decision,filter_reason,did_enter
2025.07.14 07:10:42,XAUUSDg_PERIOD_M5_20250714_0710_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3371.84,3372.45,76,2025.07.14 07:10,3370.95,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.14 07:30:15,XAUUSDg_PERIOD_M5_20250714_0730_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3374.34,3375.05,78,2025.07.14 07:30,3374.39,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.15 15:32:41,XAUUSDg_PERIOD_M5_20250715_1530_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3326.97,3327.65,64,2025.07.15 15:30,3332.61,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.15 16:08:48,XAUUSDg_PERIOD_M5_20250715_1605_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3324.25,3324.78,59,2025.07.15 16:05,3325.14,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.15 16:14:28,XAUUSDg_PERIOD_M5_20250715_1610_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3321.64,3322.20,57,2025.07.15 16:10,3323.76,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.16 14:33:40,XAUUSDg_PERIOD_M5_20250716_1430_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3320.11,3320.65,50,2025.07.16 14:30,3321.30,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.16 15:16:41,XAUUSDg_PERIOD_M5_20250716_1515_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3365.89,3367.43,133,2025.07.16 15:15,3353.86,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.16 15:19:53,XAUUSDg_PERIOD_M5_20250716_1515_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3368.80,3369.65,65,2025.07.16 15:15,3353.86,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.16 15:30:18,XAUUSDg_PERIOD_M5_20250716_1530_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3370.57,3371.26,85,2025.07.16 15:30,3371.00,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.16 15:30:24,XAUUSDg_PERIOD_M5_20250716_1530_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3373.39,3374.15,94,2025.07.16 15:30,3371.00,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
